"Consumentenprijzen; prijsindex 2015=100"
"Bestedingscategorieën: 000000 Alle bestedingen"
"";"Onderwerp"
"";"CPI";"CPI afgeleid";"Jaarmutatie CPI";"Jaarmutatie CPI afgeleid"
"Perioden";"2015 = 100";"2015 = 100";"%";"%"
"1996";"68,94";"73,25";"";""
"1997";"70,40";"74,63";"2,1";"1,9"
"1998";"71,78";"75,93";"2,0";"1,7"
"1999";"73,32";"77,19";"2,1";"1,7"
"2000";"75,06";"78,73";"2,4";"2,0"
"2001";"78,17";"81,17";"4,1";"3,1"
"2002";"80,74";"83,78";"3,3";"3,2"
"2003";"82,43";"85,34";"2,1";"1,9"
"2004";"83,48";"86,08";"1,3";"0,9"
"2005";"84,88";"87,28";"1,7";"1,4"
"2006";"85,82";"88,60";"1,1";"1,5"
"2007";"87,20";"89,90";"1,6";"1,5"
"2008";"89,37";"91,92";"2,5";"2,2"
"2009";"90,44";"92,71";"1,2";"0,9"
"2010";"91,59";"93,71";"1,3";"1,1"
"2011";"93,73";"95,74";"2,3";"2,2"
"2012";"96,04";"97,71";"2,5";"2,1"
"2013";"98,44";"98,97";"2,5";"1,3"
"2014";"99,40";"99,60";"1,0";"0,6"
"2015";"100,00";"100,00";"0,6";"0,4"
"2016";"100,32";"100,25";"0,3";"0,3"
"2017";"101,70";"101,62";"1,4";"1,4"
"2018";"103,44";"103,01";"1,7";"1,4"
"2019";"106,16";"104,64";"2,6";"1,6"
"2020";"107,51";"105,94";"1,3";"1,2"
"2021";"110,39";"108,55";"2,7";"2,5"
"2022";"121,43";"121,31";"10,0";"11,8"
"2023 november";"126,40";"125,08";"1,6";"0,2"
"2023 december";"126,45";"125,13";"1,2";"-0,2"
"2023";"126,09";"124,98";"3,8";"3,0"
"2024 januari";"127,11";"125,25";"3,2";"2,4"
"2024 februari";"127,95";"126,07";"2,8";"2,1"
"2024 maart";"128,58";"126,69";"3,1";"2,3"
"2024 april";"129,42";"127,52";"2,7";"1,9"
"2024 mei";"129,69";"127,79";"2,7";"1,9"
"2024 juni";"129,91";"127,53";"3,2";"2,1"
"2024 juli";"131,82";"129,26";"3,7";"2,7"
"2024 augustus";"132,24";"129,67";"3,6";"2,6"
"2024 september";"131,61";"129,05";"3,5";"2,5"
"2024 oktober";"132,26";"129,68";"3,5";"2,6"
"2024 november";"131,48";"128,91";"4,0";"3,1"
"2024 december";"131,63";"129,06";"4,1";"3,1"
"2024";"130,31";"128,04";"3,3";"2,4"
"2025 januari*";"131,35";"128,66";"3,3";"2,7"
"Bron: CBS"
