"Bestaande koopwoningen; verkoopprijzen prijsindex 2015=100 1995-2023"
""
"";"Onderwerp"
"";"Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen";"Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode";"Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder";"Aantal verkochte woningen|Aantal verkochte woningen";"Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode";"Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder";"Gemiddelde verkoopprijs";"Totale waarde verkoopprijzen"
"Perioden";"2015=100";"%";"%";"aantal";"%";"%";"euro";"mln euro"
"2018 oktober";"126,2";"0,4";"9,0";"18809";"14,3";"-6,6";"294050";"5531"
"2018 november";"127,4";"0,9";"9,5";"18292";"-2,7";"-6,9";"297502";"5442"
"2018 december";"126,6";"-0,6";"8,4";"19434";"6,2";"-26,4";"288356";"5604"
"2018";"123,2";"9,0";"9,0";"218491";"-9,7";"-9,7";"287267";"62765"
"2019 januari";"128,8";"1,8";"8,7";"15125";"-22,2";"-5,7";"302157";"4570"
"2019 februari";"128,7";"-0,1";"7,5";"15470";"2,3";"-3,9";"298717";"4621"
"2019 maart";"129,2";"0,4";"7,7";"16836";"8,8";"-15,7";"302845";"5099"
"2019 april";"129,8";"0,4";"7,7";"17303";"2,8";"6,4";"302456";"5233"
"2019 mei";"130,4";"0,4";"7,2";"19708";"13,9";"8,1";"303240";"5976"
"2019 juni";"130,9";"0,4";"6,9";"15495";"-21,4";"-15,9";"301736";"4675"
"2019 juli";"132,4";"1,1";"7,0";"21039";"35,8";"7,5";"309689";"6516"
"2019 augustus";"132,5";"0,1";"5,7";"19583";"-6,9";"-6,3";"316183";"6192"
"2019 september";"133,4";"0,7";"6,1";"18313";"-6,5";"11,3";"314225";"5754"
"2019 oktober";"134,1";"0,6";"6,3";"18804";"2,7";"0,0";"312772";"5881"
"2019 november";"134,8";"0,5";"5,8";"18346";"-2,4";"0,3";"312866";"5740"
"2019 december";"134,8";"0,0";"6,5";"22573";"23,0";"16,2";"312957";"7064"
"2019";"131,7";"6,9";"6,9";"218595";"0,0";"0,0";"307978";"67322"
"2020 januari";"136,9";"1,5";"6,3";"17525";"-22,4";"15,9";"329450";"5774"
"2020 februari";"137,2";"0,2";"6,6";"15427";"-12,0";"-0,3";"320889";"4950"
"2020 maart";"138,3";"0,8";"7,0";"18627";"20,7";"10,6";"326529";"6082"
"2020 april";"139,3";"0,7";"7,3";"18854";"1,2";"9,0";"326232";"6151"
"2020 mei";"140,4";"0,8";"7,7";"18347";"-2,7";"-6,9";"333093";"6111"
"2020 juni";"140,9";"0,3";"7,6";"17722";"-3,4";"14,4";"324195";"5745"
"2020 juli";"142,2";"0,9";"7,4";"22571";"27,4";"7,3";"336957";"7605"
"2020 augustus";"143,4";"0,9";"8,2";"19034";"-15,7";"-2,8";"336277";"6401"
"2020 september";"144,8";"1,0";"8,6";"20601";"8,2";"12,5";"345443";"7116"
"2020 oktober";"146,3";"1,1";"9,1";"22146";"7,5";"17,8";"350244";"7756"
"2020 november";"146,8";"0,3";"8,9";"18449";"-16,7";"0,6";"344217";"6350"
"2020 december";"146,1";"-0,5";"8,3";"26208";"42,1";"16,1";"333199";"8732"
"2020";"141,9";"7,8";"7,8";"235511";"7,7";"7,7";"334488";"78776"
"2021 januari";"149,7";"2,5";"9,3";"24516";"-6,5";"39,9";"357458";"8763"
"2021 februari";"151,4";"1,2";"10,4";"16871";"-31,2";"9,4";"369070";"6227"
"2021 maart";"153,9";"1,6";"11,3";"25240";"49,6";"35,5";"407014";"10273"
"2021 april";"155,3";"0,9";"11,5";"18954";"-24,9";"0,5";"362525";"6871"
"2021 mei";"158,4";"2,0";"12,9";"16126";"-14,9";"-12,1";"361001";"5822"
"2021 juni";"161,4";"1,9";"14,6";"17707";"9,8";"-0,1";"373384";"6612"
"2021 juli";"165,3";"2,4";"16,3";"19043";"7,5";"-15,6";"395786";"7537"
"2021 augustus";"168,9";"2,1";"17,8";"17257";"-9,4";"-9,3";"402308";"6943"
"2021 september";"171,5";"1,6";"18,5";"17575";"1,8";"-14,7";"405165";"7121"
"2021 oktober";"173,2";"1,0";"18,3";"16191";"-7,9";"-26,9";"408987";"6622"
"2021 november";"176,3";"1,8";"20,1";"16048";"-0,9";"-13,0";"403941";"6482"
"2021 december";"175,8";"-0,3";"20,4";"20559";"28,1";"-21,6";"396848";"8159"
"2021 ";"163,4";"15,2";"15,2";"226087";"-4,0";"-4,0";"386714";"87431"
"2022 januari";"181,3";"3,1";"21,1";"14053";"-31,6";"-42,7";"434886";"6111"
"2022 februari";"182,1";"0,4";"20,2";"14037";"-0,1";"-16,8";"419361";"5887"
"2022 maart";"183,9";"1,0";"19,5";"15833";"12,8";"-37,3";"426183";"6748"
"2022 april";"185,9";"1,1";"19,7";"15972";"0,9";"-15,7";"429020";"6852"
"2022 mei";"188,2";"1,2";"18,8";"15749";"-1,4";"-2,3";"429077";"6758"
"2022 juni";"188,3";"0,1";"16,6";"15661";"-0,6";"-11,6";"428932";"6718"
"2022 juli";"189,2";"0,5";"14,5";"16417";"4,8";"-13,8";"445241";"7310"
"2022 augustus";"189,0";"-0,1";"11,9";"16405";"-0,1";"-4,9";"446263";"7321"
"2022 september";"187,6";"-0,7";"9,4";"17631";"7,5";"0,3";"437996";"7722"
"2022 oktober";"186,7";"-0,5";"7,8";"14863";"-15,7";"-8,2";"428079";"6363"
"2022 november";"184,9";"-1,0";"4,9";"15146";"1,9";"-5,6";"423124";"6409"
"2022 december";"180,6";"-2,3";"2,7";"21336";"40,9";"3,8";"401436";"8565"
"2022";"185,6";"13,6";"13,6";"193103";"-14,6";"-14,6";"428591";"82762"
